Name,Count
.hack,(88)	
007,(34)	
10-downing-street,(21)	
10-year-old,(195)	
1000000-b.c.,(38)	
1001-nights,(21)	
100th-episode,(26)	
10th-century,(25)	
11-year-old,(184)	
11th-century,(53)	
12-chapters,(31)	
12-step-program,(37)	
12-year-old,(338)	
12-year-old-boy,(25)	
1200s,(37)	
12th-century,(64)	
13-year-old,(304)	
1300s,(53)	
13th-century,(54)	
14-year-old,(293)	
1400s,(69)	
1490s,(40)	
14th-century,(62)	
15-year-old,(303)	
1500s,(120)	
15th-century,(163)	
16-year-old,(313)	
1600s,(174)	
1620s,(27)	
1630s,(30)	
1640s,(30)	
1650s,(27)	
1660s,(34)	
1670s,(20)	
1690s,(26)	
16mm,(70)	
16mm-film,(24)	
16th-birthday,(37)	
16th-century,(265)	
17-year-old,(315)	
1700s,(230)	
1740s,(27)	
1750s,(34)	
1760s,(25)	
1770s,(72)	
1780s,(76)	
1790s,(123)	
17th-century,(351)	
18-wheeler,(48)	
18-year-old,(288)	
1800s,(566)	
1810s,(95)	
1820s,(103)	
1830s,(135)	
1840s,(192)	
1850s,(200)	
1860s,(420)	
1870s,(377)	
1880s,(663)	
1890s,(600)	
1893-columbian-exposition,(20)	
18th-birthday,(58)	
18th-century,(518)	
19-year-old,(171)	
1900-exposition-universelle,(84)	
1900s,(630)	
1901-pan-american-exposition,(29)	
1910s,(939)	
1920s,(1543)	
1930s,(2924)	
1940s,(3445)	
1944,(28)	
1945,(21)	
1950s,(2687)	
1960s,(2877)	
1967-chevrolet-impala-sport-coupe,(48)	
1970s,(2850)	
1980s,(2773)	
1990s,(2318)	
19th-century,(1661)	
1st-century,(76)	
1st-century-b.c.,(71)	
20-year-old,(95)	
2000s,(1707)	
2000s-music,(319)	
2008-presidential-election,(25)	
2010s,(1381)	
2010s-music,(168)	
2011-japanese-earthquake,(62)	
2012,(39)	
2017-manchester-terror-attack,(101)	
2020s,(96)	
2030s,(52)	
2040s,(50)	
2050s,(30)	
2060s,(28)	
2070s,(21)	
2080s,(35)	
20th-century,(569)	
20th-century-history,(31)	
21-year-old,(94)	
2150s,(96)	
21st-birthday,(33)	
21st-century,(241)	
22-year-old,(80)	
22nd-century,(172)	
23-year-old,(71)	
2300s,(57)	
23rd-century,(307)	
23rd-psalm,(36)	
24-hours,(23)	
24-year-old,(61)	
24th-century,(720)	
25-year-old,(69)	
25th-anniversary,(23)	
25th-century,(61)	
26-year-old,(49)	
26th-century,(50)	
27-year-old,(53)	
27th-century,(52)	
28-year-old,(47)	
28th-century,(39)	
29-year-old,(53)	
2d-animation,(1814)	
3-d,(73)	
3-dimensional,(497)	
3-stories,(20)	
3-year-old,(23)	
30-year-old,(56)	
30th-birthday,(42)	
31st-century,(22)	
32-year-old,(45)	
33-year-old,(47)	
34-year-old,(28)	
35-mm-camera,(25)	
35-year-old,(29)	
35mm,(20)	
36-year-old,(28)	
360,(22)	
360-degree-pan,(54)	
360-degree-well-shot,(33)	
37-year-old,(20)	
38-year-old,(37)	
39-year-old,(28)	
3d,(326)	
3d-animation,(319)	
3d-glasses,(45)	
3d-in-title,(103)	
3d-sequel-to-2d-film,(22)	
4-stories,(24)	
4-year-old,(22)	
40-year-old,(66)	
40th-birthday,(32)	
41-year-old,(21)	
42-year-old,(27)	
420,(36)	
42nd-street-manhattan-new-york-city,(60)	
43-year-old,(32)	
45-year-old,(105)	
46-year-old,(105)	
47-year-old,(95)	
48-hour-film-project,(356)	
4x4,(28)	
5-year-old,(34)	
50-calibre-machine-gun,(38)	
50-year-old,(27)	
50s-music,(27)	
50th-anniversary,(27)	
50th-birthday,(22)	
55-gallon-drum,(25)	
555-phone-number,(177)	
5th-century,(21)	
6-year-old,(50)	
60s-music,(111)	
666,(63)	
69-sex-position,(1892)	
7-year-old,(58)	
70-year-old,(20)	
70mm-film,(62)	
70s,(47)	
70s-music,(94)	
8-bit,(24)	
8-track,(41)	
8-year-old,(55)	
80s,(164)	
80s-music,(183)	
8mm,(44)	
8mm-film,(44)	
9-11,(51)	
9-year-old,(79)	
90s,(66)	
90s-music,(604)	
911,(114)	
911-call,(137)	
a-cappella,(78)	
aa-meeting,(38)	
abacus,(31)	
abandoned,(84)	
abandoned-apartment,(34)	
abandoned-baby,(171)	
abandoned-building,(332)	
abandoned-by-father,(69)	
abandoned-by-husband,(30)	
abandoned-by-mother,(61)	
abandoned-car,(106)	
abandoned-child,(45)	
abandoned-church,(73)	
abandoned-city,(36)	
abandoned-dog,(23)	
abandoned-factory,(146)	
abandoned-hospital,(58)	
abandoned-hotel,(41)	
abandoned-house,(295)	
abandoned-mine,(159)	
abandoned-school,(32)	
abandoned-ship,(75)	
abandoned-subway-station,(39)	
abandoned-theater,(32)	
abandoned-town,(31)	
abandoned-warehouse,(134)	
abandonment,(234)	
abba,(20)	
abbess,(65)	
abbey,(93)	
abbot,(38)	
abbott-and-costello,(36)	
abbreviation-in-episode-title,(99)	
abbreviation-in-title,(442)	
abc-movie-of-the-week,(172)	
abc-weekend-special,(22)	
abdication,(48)	
abducted-by-indians,(57)	
abduction,(1757)	
abductor,(54)	
abilene-kansas,(25)	
able-to-hear-the-dead,(28)	
able-to-see-the-dead,(77)	
abolishment-of-slavery,(22)	
abolition,(27)	
abolition-movement,(28)	
abolitionist,(60)	
abominable-snowman,(36)	
aboriginal,(254)	
aboriginal-australian,(56)	
aboriginal-culture,(34)	
aborigine,(158)	
abortion,(1128)	
abortion-clinic,(87)	
abortion-joke,(27)	
abortion-rights,(26)	
abortionist,(60)	
above-and-beyond,(24)	
abroad,(58)	
abrupt-ending,(47)	
abseiling,(34)	
absent-father,(415)	
absent-husband,(30)	
absent-mindedness,(61)	
absent-mother,(144)	
absent-parents,(21)	
absent-without-leave,(53)	
absinthe,(86)	
absolution,(36)	
absolutism,(21)	
absorbing-power,(22)	
abstinence,(75)	
abstract,(122)	
abstract-art,(116)	
abstract-film,(156)	
abstract-painting,(34)	
absurd,(132)	
absurd-comedy,(49)	
absurd-humor,(560)	
absurd-violence,(71)	
absurdism,(872)	
abu-dhabi,(22)	
abuse,(2755)	
abuse-against-women,(27)	
abuse-of-power,(307)	
abused-child,(67)	
abused-wife,(43)	
abused-woman,(56)	
abusive-boss,(32)	
abusive-boyfriend,(164)	
abusive-childhood,(25)	
abusive-father,(395)	
abusive-husband,(413)	
abusive-man,(28)	
abusive-marriage,(21)	
abusive-mother,(134)	
abusive-parent,(50)	
abusive-relationship,(106)	
abusive-stepfather,(96)	
abusive-wife,(27)	
abusive-woman,(29)	
abyss,(56)	
academia,(32)	
academic,(46)	
academy,(141)	
academy-award,(65)	
academy-awards,(21)	
academy-awards-ceremony,(50)	
acapulco-mexico,(27)	
accent,(102)	
acceptance,(237)	
acceptance-speech,(27)	
accident,(1799)	
accident-prone,(27)	
accident-victim,(73)	
accidental-cannibalism,(21)	
accidental-death,(777)	
accidental-drowning,(27)	
accidental-fire,(23)	
accidental-hero,(20)	
accidental-incest,(60)	
accidental-killing,(460)	
accidental-murder,(75)	
accidental-shooting,(306)	
accidental-stabbing,(25)	
accidental-suicide,(70)	
accomplice,(155)	
accordion,(417)	
accordion-player,(72)	
accountability,(24)	
accountant,(425)	
accounting,(58)	
accusation,(291)	
accusation-of-murder,(31)	
accused-of-cheating,(32)	
accused-of-murder,(123)	
accused-of-stealing,(42)	
accused-of-witchcraft,(28)	
ace,(31)	
achilles-tendon-cut,(34)	
acid,(352)	
acid-burning,(45)	
acid-in-face,(31)	
acid-rain,(37)	
acid-the-drug,(31)	
acid-trip,(53)	
aclu,(26)	
acme-brand,(58)	
acne,(30)	
acolyte,(20)	
acorn,(52)	
acoustic,(26)	
acoustic-guitar,(305)	
acoustic-rock,(35)	
acquaintance-rape,(23)	
acquittal,(80)	
acquitted-of-murder,(37)	
acrobat,(350)	
acrobatic-sex,(81)	
acrobatics,(210)	
acronym,(23)	
acronym-in-episode-title,(24)	
acronym-in-title,(1225)	
acrophobia,(73)	
acropolis,(31)	
acting,(838)	
acting-audition,(70)	
acting-career,(23)	
acting-class,(68)	
acting-coach,(45)	
acting-lesson,(43)	
acting-musician,(73)	
acting-school,(33)	
acting-starfleet-ensign,(51)	
acting-teacher,(34)	
action-adventure-game,(60)	
action-figure,(146)	
action-filmmaking,(75)	
action-game,(418)	
action-hero,(2154)	
action-heroine,(485)	
action-noir,(41)	
action-rpg,(30)	
action-sports,(63)	
action-violence,(199)	
active-volcano,(25)	
activism,(322)	
activist,(346)	
actor,(3294)	
actor's-life,(446)	
actor-as-protagonist,(23)	
actor-breaking-typecast,(21)	
actor-director,(113)	
actor-director-producer-writer,(47)	
actor-director-writer,(82)	
actor-name-in-series-title,(33)	
actor-name-in-title,(304)	
actor-playing-dual-role,(99)	
actor-playing-female-role,(104)	
actor-playing-himself,(802)	
actor-playing-multiple-characters,(22)	
actor-playing-multiple-roles,(1116)	
actor-reprises-previous-role,(29)	
actor-shares-first-and-last-name-with-character,(250)	
actor-shares-first-name-with-character,(2749)	
actor-shares-full-name-with-character,(61)	
actor-shares-last-name-with-character,(519)	
actor-talks-to-audience,(45)	
actor-voicing-multiple-characters,(213)	
actors,(58)	
actress,(3252)	
actress-breaking-typecast,(70)	
actress-name-in-title,(128)	
actress-playing-dual-role,(75)	
actress-playing-herself,(140)	
actress-playing-male-role,(74)	
actress-playing-multiple-roles,(390)	
actress-shares-first-and-last-name-with-character,(53)	
actress-shares-first-name-with-character,(363)	
actress-shares-last-name-with-character,(72)	
actress-voicing-multiple-characters,(58)	
acts-of-the-apostles,(73)	
actual-animal-killed,(322)	
acupuncture,(109)	
ad-agency,(22)	
ad-lib,(61)	
adam-and-eve,(58)	
adaptation,(111)	
adaptation-directed-by-original-author,(64)	
addict,(132)	
addiction,(649)	
adding-machine,(24)	
address,(68)	
address-as-title,(85)	
address-book,(41)	
address-to-the-nation,(23)	
adelaide-south-australia,(393)	
adhd,(56)	
adhesive-tape,(78)	
adirondack-mountains,(28)	
admiral,(270)	
admiration,(39)	
adolescence,(289)	
adolescent,(1524)	
adolescent-boy,(148)	
adolescent-girl,(79)	
adolescent-humor,(38)	
adolf-hitler,(40)	
adopted,(21)	
adopted-brother,(35)	
adopted-child,(126)	
adopted-daughter,(215)	
adopted-sister,(22)	
adopted-son,(280)	
adoptee,(35)	
adoption,(1566)	
adoption-agency,(41)	
adoptive-family,(23)	
adoptive-father,(75)	
adoptive-father-adopted-daughter-relationship,(45)	
adoptive-father-adopted-son-relationship,(68)	
adoptive-mother,(60)	
adoptive-mother-adopted-daughter-relationship,(39)	
adoptive-mother-adopted-son-relationship,(27)	
adoptive-parent,(23)	
adoptive-parents,(26)	
adoration,(21)	
adrenaline,(75)	
adriatic-sea,(25)	
adrift,(36)	
adult-actress-playing-minor,(23)	
adult-actress-playing-teenage-girl,(384)	
adult-animation,(350)	
adult-anime,(37)	
adult-as-child,(54)	
adult-bookstore,(31)	
adult-child-friendship,(41)	
adult-diaper,(37)	
adult-education,(26)	
adult-film-actress,(81)	
adult-film-director,(44)	
adult-film-industry,(42)	
adult-film-star,(74)	
adult-filmmaker,(47)	
adult-filmmaking,(136)	
adult-humor,(153)	
adult-illiteracy,(35)	
adult-lives-at-home,(55)	
adult-living-with-mother,(20)	
adult-living-with-parents,(34)	
adult-magazine,(36)	
adulterer,(83)	
adulteress,(137)	
adulterous-husband,(124)	
adulterous-wife,(435)	
adultery,(4895)	
adulthood,(59)	
advanced-technology,(93)	
advent-calendar,(23)	
adventure-filmmaking,(58)	
adventure-game,(43)	
adventure-hero,(328)	
adventurer,(633)	
adventures,(67)	
adventuress,(98)	
advergame,(33)	
advertisement,(350)	
advertising,(570)	
advertising-agency,(153)	
advertising-campaign,(59)	
advertising-executive,(102)	
advertising-slogan,(23)	
advice,(491)	
advice-columnist,(31)	
advisor,(83)	
advocate,(31)	
aerial,(45)	
aerial-attack,(78)	
aerial-bombardment,(108)	
aerial-bombing,(47)	
aerial-combat,(208)	
aerial-photography,(141)	
aerial-reconnaissance,(25)	
aerial-shot,(477)	
aerialbot,(25)	
aerobics,(167)	
aerobics-class,(24)	
aeronautics,(28)	
aesthetics,(29)	
affair,(1100)	
affair-exposed,(27)	
affection,(401)	
affectionate-hug,(30)	
affidavit,(22)	
affirmative-action,(40)	
afghan,(38)	
afghan-war,(53)	
afghanistan,(403)	
afghanistan-veteran,(50)	
afghanistan-war,(29)	
afi,(38)	
africa,(1864)	
african,(598)	
african-american,(6012)	
african-american-female-detective,(60)	
african-american-lesbian,(34)	
african-american-man,(109)	
african-american-president,(30)	
african-american-protagonist,(85)	
african-american-singer,(24)	
african-american-stereotype,(32)	
african-american-woman,(276)	
african-anglo,(40)	
african-canadian,(27)	
african-dance,(27)	
african-french,(24)	
african-lion,(142)	
african-man,(26)	
african-tribe,(62)	
african-woman,(34)	
afrika-corps,(20)	
afrikaans,(387)	
afro,(90)	
aft-view,(24)	
after-dark,(20)	
after-dark-horrorfest,(42)	
after-party,(34)	
after-school-special,(157)	
afterlife,(487)	
aftermath,(44)	
afternoon,(30)	
afternoon-tea,(23)	
against-the-odds,(55)	
against-the-system,(23)	
agatha-christie,(42)	
age,(61)	
age-difference,(350)	
age-in-title,(30)	
age-regression,(22)	
ageism,(48)	
agency,(74)	
agent,(698)	
agent-orange,(27)	
aggression,(173)	
aging,(647)	
agitator,(49)	
agnostic,(44)	
agony,(80)	
agoraphobia,(133)	
agreement,(44)	
agricultural,(20)	
agricultural-work,(59)	
agriculture,(502)	
agronomist,(20)	
ah-64-apache-helicopter,(34)	
aid,(57)	
aids,(790)	
aikido,(143)	
aimlessness,(29)	
air,(46)	
air-attack,(58)	
air-base,(90)	
air-battle,(53)	
air-conditioner,(62)	
air-conditioning,(38)	
air-crew,(28)	
air-defense,(20)	
air-drop,(24)	
air-duct,(91)	
air-force,(115)	
air-force-base,(76)	
air-force-one,(30)	
air-guitar,(56)	
air-gun,(21)	
air-hockey,(33)	
air-horn,(34)	
air-marshal,(33)	
air-mattress,(21)	
air-pollution,(60)	
air-quote-gesture,(260)	
air-race,(44)	
air-raid,(325)	
air-raid-shelter,(38)	
air-raid-siren,(77)	
air-raid-warden,(25)	
air-rifle,(23)	
air-show,(57)	
air-strike,(114)	
air-strip,(29)	
air-traffic-control,(46)	
air-traffic-controller,(43)	
air-vent,(78)	
airbag,(81)	
airboat,(73)	
aircraft,(206)	
aircraft-carrier,(256)	
aircraft-cockpit,(27)	
aircraft-hangar,(20)	
aircrew,(23)	
airfield,(236)	
airforce,(102)	
airforce-one,(55)	
airhead,(55)	
airlift,(23)	
airline,(105)	
airline-pilot,(49)	
airliner,(153)	
airlock,(77)	
airmail,(26)	
airman,(35)	
airplane,(3621)	
airplane-accident,(354)	
airplane-chase,(23)	
airplane-crash,(654)	
airplane-explosion,(47)	
airplane-hangar,(41)	
airplane-hijack,(61)	
airplane-hijacking,(34)	
airplane-on-fire,(23)	
airplane-passenger,(36)	
airplane-pilot,(134)	
airplane-runway,(20)	
airplane-shot-down,(67)	
airplane-stewardess,(78)	
airplane-ticket,(72)	
airplane-trip,(99)	
