name,certificate,distribution,score,amount,Date,Extra,duration
10 Cent Pistol (2014),USA:R,1001210000,4.7,391,USA:24-July-2015,,91
10 Cent Pistol (2014),USA:R,1001210000,4.7,391,USA:25-April-2014,(NewportBeachInternationalFilmFestival),91
10 Years (2011),USA:PG-13,0000122100,6.1,20790,USA:5-October-2012,,100
10 Years (2011),USA:PG-13,0000122100,6.1,20790,USA:14-September-2012,(limited),100
100 Feet (2008),USA:R,0001121000,5.5,10979,USA:26-April-2009,(TVpremiere),104
100 Feet (2008),USA:R,0001121000,5.5,10979,USA:11-October-2008,(ScreamfestFilmFestival),104
100 Feet (2008),USA:R,0001121000,5.5,10979,USA:20-October-2009,(DVDpremiere),104
11-11-11 (2011),USA:PG-13,1111110000,4.0,11425,USA:11-November-2011,(limited),90
11:14 (2003),USA:R,0000013210,7.2,40149,USA:2-April-2005,(WisconsinFilmFestival),86
11:14 (2003),USA:R,0000013210,7.2,40149,USA:15-October-2003,(HollywoodFilmFestival),86
11:14 (2003),USA:R,0000013210,7.2,40149,USA:2-April-2004,(SonomaFilmFestival),86
11:14 (2003),USA:R,0000013210,7.2,40149,USA:11-October-2005,(DVDpremiere),86
12-12-12 (2013),USA:R,2000000002,5.0,118,USA:1-November-2013,,105
12 and Holding (2005),USA:R,0000002311,7.6,6327,USA:27-May-2006,(SeattleInternationalFilmFestival),94
12 and Holding (2005),USA:R,0000002311,7.6,6327,USA:31-March-2007,(NewDirectors/NewFilms),94
12 and Holding (2005),USA:R,0000002311,7.6,6327,USA:31-March-2006,(NewDirectors/NewFilms),94
13 Dead Men (2003),USA:R,5100000000,1.9,403,USA:21-October-2003,,85
16 Blocks (2006),USA:PG-13,0000023100,6.6,117443,USA:3-March-2006,,102
16 Years of Alcohol (2003),USA:R,0000111100,6.3,1540,USA:18-March-2005,(limited),102
16 Years of Alcohol (2003),USA:R,0000111100,6.3,1540,USA:15-April-2004,(PhiladelphiaInternationalFilmFestival),102
16 Years of Alcohol (2003),USA:R,0000111100,6.3,1540,USA:October-2003-,(ChicagoInternationalFilmFestival),102
17 Miracles (2011),USA:PG,0000001103,6.4,1025,USA:3-June-2011,(limited),113
180° South (2010),USA:PG,0000002211,7.7,2561,USA:25-September-2010,(AsburyParkIndependentFilmFestival),85
180° South (2010),USA:PG,0000002211,7.7,2561,USA:10-February-2010,(SantaBarbaraInternationalFilmFestival),85
180° South (2010),USA:PG,0000002211,7.7,2561,USA:24-April-2010,(NewportBeachInternationalFilmFestival),85
180° South (2010),USA:PG,0000002211,7.7,2561,USA:12-November-2010,(SavetheWavesFilmFestival),85
180° South (2010),USA:PG,0000002211,7.7,2561,USA:24-April-2010,(limited),85
19 Doors (2011),USA:R,3111000001,2.9,126,USA:22-August-2011,(DVDpremiere),93
1941 (1979),USA:PG,0000121100,5.9,27172,USA:14-December-1979,,146
1990: I guerrieri del Bronx (1982),USA:R,0001111000,5.3,2223,USA:22-April-1983,,89
1990: I guerrieri del Bronx (1982),USA:R,0001111000,5.3,2223,USA:22-April-1983,,97
2:22 (2008),USA:R,0000111001,5.3,1163,USA:4-December-2008,(SantaFeFilmFestival),104
2:22 (2008),USA:R,0000111001,5.3,1163,USA:24-August-2010,(DVDpremiere),104
2001 Maniacs: Field of Screams (2010),USA:R,2111000000,3.2,2013,USA:29-April-2010,(TexasFrightmareWeekend),86
2001 Maniacs: Field of Screams (2010),USA:R,2111000000,3.2,2013,USA:20-July-2010,(DVDpremiere),86
24 Hours in Las Vegas (2011),USA:R,2.1..1.1.2,5.6,7,USA:1-October-2011,,80
29 Palms (2002),USA:R,0001211000,4.9,1583,USA:19-August-2003,(DVDpremiere),93
2BPerfectlyHonest (2004),USA:R,0001210000,4.7,196,USA:2-May-2004,(TribecaFilmFestival),88
2BPerfectlyHonest (2004),USA:R,0001210000,4.7,196,USA:15-March-2005,(ClevelandInternationalFilmFestival),88
3 Blind Mice (2003),USA:R,0012110000,4.3,1061,USA:4-November-2003,(DVDpremiere),89
305 (2008),USA:PG-13,3100000001,3.3,832,USA:8-July-2008,(DVDpremiere),84
305 (2008),USA:PG-13,3100000001,3.3,832,USA:11-April-2008,(PalmBeachInternationalFilmFestival),84
305 (2008),USA:PG-13,3100000001,3.3,832,USA:8-March-2008,(FoursiteFilmFestival),84
305 (2008),USA:PG-13,3100000001,3.3,832,USA:7-March-2008,(FargoFilmFestival),84
305 (2008),USA:PG-13,3100000001,3.3,832,USA:27-April-2008,(IndieSpiritFilmFestival),84
4 Clowns (1970),USA:G,00.0000222,7.5,122,USA:September-1970,,97
50 Million Frenchmen (1931),USA:Passed,0001212000,5.6,96,USA:14-February-1931,,70
50 Ways to Leave Your Lover (2004),USA:R,0000121101,6.0,973,USA:10-September-2004,,95
50 Ways to Leave Your Lover (2004),USA:R,0000121101,6.0,973,USA:6-May-2004,(TribecaFilmFestival),95
50 Ways to Leave Your Lover (2004),USA:R,0000121101,6.0,973,USA:14-October-2004,(AustinFilmFestival),95
54 (1998),USA:R,0000121000,5.8,28964,USA:28-August-1998,,100
54 (1998),USA:R,0000121000,5.8,28964,USA:28-August-1998,,100
8 Murders a Day (2011),USA:R,1000011001,5.3,38,USA:18-February-2011,,90
8: The Mormon Proposition (2010),USA:R,1000011101,7.1,1172,USA:18-June-2010,(FRAMELINESanFranciscoInternationalLGBTFilmFestival),80
